ERROR|COMPILE_TIME_ERROR|ARGUMENT_TYPE_NOT_ASSIGNABLE|C:\\Users\\dilku\\Desktop\\goalapp\\lib\\core\\theme\\app_theme.dart|49|18|288|The argument type 'CardTheme' can't be assigned to the parameter type 'CardThemeData?'. 
ERROR|COMPILE_TIME_ERROR|URI_DOES_NOT_EXIST|C:\\Users\\dilku\\Desktop\\goalapp\\lib\\presentation\\screens\\onboarding\\goal_setup_screen.dart|5|8|34|Target of URI doesn't exist: '../../core/theme/app_colors.dart'.
ERROR|COMPILE_TIME_ERROR|URI_DOES_NOT_EXIST|C:\\Users\\dilku\\Desktop\\goalapp\\lib\\presentation\\screens\\onboarding\\goal_setup_screen.dart|6|8|39|Target of URI doesn't exist: '../../core/theme/app_text_styles.dart'.
ERROR|COMPILE_TIME_ERROR|URI_DOES_NOT_EXIST|C:\\Users\\dilku\\Desktop\\goalapp\\lib\\presentation\\screens\\onboarding\\goal_setup_screen.dart|7|8|33|Target of URI doesn't exist: '../providers/goal_provider.dart'.
ERROR|COMPILE_TIME_ERROR|UNDEFINED_IDENTIFIER|C:\\Users\\dilku\\Desktop\\goalapp\\lib\\presentation\\screens\\onboarding\\goal_setup_screen.dart|43|20|18|Undefined name 'activeGoalProvider'.
ERROR|COMPILE_TIME_ERROR|INVALID_CONSTANT|C:\\Users\\dilku\\Desktop\\goalapp\\lib\\presentation\\screens\\onboarding\\goal_setup_screen.dart|98|24|9|Invalid constant value.
ERROR|COMPILE_TIME_ERROR|NON_CONSTANT_LIST_ELEMENT|C:\\Users\\dilku\\Desktop\\goalapp\\lib\\presentation\\screens\\onboarding\\goal_setup_screen.dart|98|24|9|The values in a const list literal must be constants.
ERROR|COMPILE_TIME_ERROR|UNDEFINED_IDENTIFIER|C:\\Users\\dilku\\Desktop\\goalapp\\lib\\presentation\\screens\\onboarding\\goal_setup_screen.dart|98|24|9|Undefined name 'AppColors'.
ERROR|COMPILE_TIME_ERROR|UNDEFINED_IDENTIFIER|C:\\Users\\dilku\\Desktop\\goalapp\\lib\\presentation\\screens\\onboarding\\goal_setup_screen.dart|109|18|13|Undefined name 'AppTextStyles'.
ERROR|COMPILE_TIME_ERROR|UNDEFINED_IDENTIFIER|C:\\Users\\dilku\\Desktop\\goalapp\\lib\\presentation\\screens\\onboarding\\goal_setup_screen.dart|117|18|13|Undefined name 'AppTextStyles'.
ERROR|COMPILE_TIME_ERROR|UNDEFINED_IDENTIFIER|C:\\Users\\dilku\\Desktop\\goalapp\\lib\\presentation\\screens\\onboarding\\goal_setup_screen.dart|128|14|13|Undefined name 'AppTextStyles'.
